Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCN481950000000003,LAUCN481950000000004,LAUCN481950000000005,LAUCN481950000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"Hansford County, TX",,,,
Area Type:,Counties and equivalents,,,,
State/Region/Division:,Texas,,,,
Years:,2010 to 2020,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,2875,2732,143,5.0
2010,Feb,2862,2729,133,4.6
2010,Mar,2955,2820,135,4.6
2010,Apr,3012,2881,131,4.3
2010,May,2991,2862,129,4.3
2010,Jun,3120,2983,137,4.4
2010,Jul,3167,3033,134,4.2
2010,Aug,3114,2979,135,4.3
2010,Sep,3090,2964,126,4.1
2010,Oct,3065,2942,123,4.0
2010,Nov,3048,2920,128,4.2
2010,Dec,3062,2945,117,3.8
2011,Jan,2982,2856,126,4.2
2011,Feb,2946,2823,123,4.2
2011,Mar,2985,2867,118,4.0
2011,Apr,2987,2870,117,3.9
2011,May,3002,2884,118,3.9
2011,Jun,3146,3000,146,4.6
2011,Jul,3119,2979,140,4.5
2011,Aug,3155,3020,135,4.3
2011,Sep,3073,2943,130,4.2
2011,Oct,3027,2907,120,4.0
2011,Nov,3056,2946,110,3.6
2011,Dec,3078,2976,102,3.3
2012,Jan,2966,2860,106,3.6
2012,Feb,2941,2840,101,3.4
2012,Mar,3006,2907,99,3.3
2012,Apr,3055,2961,94,3.1
2012,May,3084,2982,102,3.3
2012,Jun,3154,3033,121,3.8
2012,Jul,3157,3032,125,4.0
2012,Aug,3083,2972,111,3.6
2012,Sep,3073,2976,97,3.2
2012,Oct,3074,2976,98,3.2
2012,Nov,3043,2947,96,3.2
2012,Dec,3021,2922,99,3.3
2013,Jan,3006,2891,115,3.8
2013,Feb,3035,2927,108,3.6
2013,Mar,3039,2937,102,3.4
2013,Apr,3089,2993,96,3.1
2013,May,3162,3060,102,3.2
2013,Jun,3259,3142,117,3.6
2013,Jul,3247,3129,118,3.6
2013,Aug,3177,3075,102,3.2
2013,Sep,3139,3037,102,3.2
2013,Oct,3157,3063,94,3.0
2013,Nov,3085,2997,88,2.9
2013,Dec,3155,3072,83,2.6
2014,Jan,3122,3037,85,2.7
2014,Feb,3182,3095,87,2.7
2014,Mar,3187,3102,85,2.7
2014,Apr,3248,3177,71,2.2
2014,May,3334,3250,84,2.5
2014,Jun,3375,3285,90,2.7
2014,Jul,3343,3246,97,2.9
2014,Aug,3264,3175,89,2.7
2014,Sep,3247,3163,84,2.6
2014,Oct,3274,3194,80,2.4
2014,Nov,3194,3123,71,2.2
2014,Dec,3181,3117,64,2.0
2015,Jan,3147,3060,87,2.8
2015,Feb,3196,3105,91,2.8
2015,Mar,3206,3110,96,3.0
2015,Apr,3107,3019,88,2.8
2015,May,3157,3059,98,3.1
2015,Jun,3179,3080,99,3.1
2015,Jul,3126,3030,96,3.1
2015,Aug,3037,2952,85,2.8
2015,Sep,3070,2982,88,2.9
2015,Oct,3083,2993,90,2.9
2015,Nov,3014,2920,94,3.1
2015,Dec,3026,2931,95,3.1
2016,Jan,2895,2801,94,3.2
2016,Feb,3027,2932,95,3.1
2016,Mar,3049,2961,88,2.9
2016,Apr,3006,2923,83,2.8
2016,May,3080,2992,88,2.9
2016,Jun,3031,2934,97,3.2
2016,Jul,2936,2840,96,3.3
2016,Aug,2933,2837,96,3.3
2016,Sep,2913,2819,94,3.2
2016,Oct,2861,2766,95,3.3
2016,Nov,2798,2712,86,3.1
2016,Dec,2797,2707,90,3.2
2017,Jan,2768,2677,91,3.3
2017,Feb,2830,2737,93,3.3
2017,Mar,2898,2818,80,2.8
2017,Apr,2889,2821,68,2.4
2017,May,2914,2843,71,2.4
2017,Jun,2902,2829,73,2.5
2017,Jul,2856,2782,74,2.6
2017,Aug,2873,2802,71,2.5
2017,Sep,2823,2761,62,2.2
2017,Oct,2888,2831,57,2.0
2017,Nov,2840,2775,65,2.3
2017,Dec,2856,2790,66,2.3
2018,Jan,2819,2742,77,2.7
2018,Feb,2848,2777,71,2.5
2018,Mar,2930,2863,67,2.3
2018,Apr,2854,2792,62,2.2
2018,May,2927,2869,58,2.0
2018,Jun,2906,2834,72,2.5
2018,Jul,2858,2792,66,2.3
2018,Aug,2894,2829,65,2.2
2018,Sep,2872,2811,61,2.1
2018,Oct,2809,2748,61,2.2
2018,Nov,2767,2707,60,2.2
2018,Dec,2756,2689,67,2.4
2019,Jan,2742,2666,76,2.8
2019,Feb,2792,2723,69,2.5
2019,Mar,2845,2775,70,2.5
2019,Apr,2761,2705,56,2.0
2019,May,2787,2729,58,2.1
2019,Jun,2820,2747,73,2.6
2019,Jul,2782,2713,69,2.5
2019,Aug,2809,2742,67,2.4
2019,Sep,2770,2709,61,2.2
2019,Oct,2797,2736,61,2.2
2019,Nov,2703,2643,60,2.2
2019,Dec,2733,2674,59,2.2
2020,Jan,2710,2642,68,2.5
2020,Feb,2733,2672,61,2.2
2020,Mar,2703,2616,87,3.2
2020,Apr,2250,2174,76,3.4
